"PERIODO","LON","LAT","Ene","Feb","Mar","Abr","May","Jun","Jul","Ago","Sep","Oct","Nov","Dic","NORMAL ANUAL"
"1981-2010","-90.5","-11.5","256","254.3","255.4","254.1","251.4","253.5","257.6","261.8","268.1","268.5","265","259.3","258.8"
"1981-2010","-90.5","-10.5","255","253.8","255.5","254","251.3","253.4","258.1","261.9","268.1","268","263.7","258","258.4"
"1981-2010","-90.5","-9.5","254.1","253","255.2","254","251.3","253.7","258.8","262.2","268.4","267.7","262.4","256.8","258.1"
"1981-2010","-90.5","-8.5","253.1","252.2","254.7","253.8","251.5","254.2","259.1","262.9","268.9","267.1","261.1","255.3","257.8"
"1981-2010","-90.5","-7.5","252.1","251.8","254.5","253.7","251.7","255.1","259.2","263.6","269.3","266.5","259.7","253.9","257.6"
"1981-2010","-90.5","-6.5","251","251.7","254.5","253.8","252.1","255.9","259.8","264.4","269.9","266.1","258.6","252.6","257.5"
"1981-2010","-90.5","-5.5","250.2","251.3","254.6","253.8","252.7","256.8","260.8","265.3","270.5","265.7","257.3","251.4","257.5"
"1981-2010","-90.5","-4.5","249.3","251.1","254.5","254.5","253.4","257.4","262.2","266.1","270.9","265.3","256.3","250.4","257.6"
"1981-2010","-90.5","-3.5","248.9","250.6","254","255.1","254.5","258","263.8","266.8","271","264.9","255.4","249.5","257.7"
"1981-2010","-90.5","-2.5","248.2","250","254","255.7","255.3","258.6","264.9","267.5","271","264.8","254.8","249","257.8"
"1981-2010","-90.5","-1.5","247.6","249.4","254.3","256.3","256.3","259.6","265.2","267.8","271.1","264.5","254.2","248.7","257.9"
"1981-2010","-90.5","-0.5","246.6","248.8","254.1","256.4","256.6","259.8","265","268","271.1","264.2","253.3","248.1","257.7"
"1981-2010","-90.5","0.5","246.4","248.5","254","256.7","256.4","259.9","265","268.7","271.3","264","252.9","248.1","257.7"
"1981-2010","-90.5","1.5","246.1","248.4","254.1","257.2","257.5","261.5","266.3","270.2","272.1","264.3","252.6","248","258.2"
"1981-2010","-90.5","2.5","246","248.1","254.2","257.8","258.5","262.8","267.7","272.3","273.2","265.1","252.6","247.6","258.8"
"1981-2010","-90.5","3.5","246","247.7","253.8","258.3","259.5","263.8","269.6","274.1","274.7","265.7","252.6","247.2","259.4"
"1981-2010","-90.5","4.5","245.7","247.5","253.6","259.2","261","265.6","271.8","276","277","266.5","252.7","247.1","260.3"
"1981-2010","-90.5","5.5","245.2","246.7","253","259.9","262.7","267.3","274.6","278","278.4","266.8","252.7","246.9","261"
"1981-2010","-90.5","6.5","244.7","246.1","252.4","260.3","264","268.6","275.9","278.6","279.2","267.3","253","246.6","261.4"
"1981-2010","-90.5","7.5","244.2","245.6","252.1","260.8","265.6","269.9","276.9","279.6","279.1","267.6","253","246.1","261.7"
"1981-2010","-90.5","8.5","243.9","245.3","252.2","261.5","267.1","271.6","278.3","280.6","278.9","267.6","253.1","245.6","262.1"
"1981-2010","-90.5","9.5","243.6","245.4","253","262.8","268.9","273","279.7","281.4","279","267.8","253.2","245.4","262.8"
"1981-2010","-90.5","10.5","243.9","245.7","253.7","264.5","270.9","274.7","280.5","281.7","279.3","267.8","252.7","245.2","263.4"
"1981-2010","-90.5","11.5","244.2","246","254.7","266.5","273.2","275.8","281.2","282.2","279.4","267.4","252.4","245.2","264"
"1981-2010","-90.5","12.5","244.6","246.7","256","268.4","275.1","276.3","281.4","282.2","278.8","266.7","252.3","245.4","264.5"
"1981-2010","-90.5","13.5","244.8","247.3","257.1","269.3","276","276.6","282.1","282","278.2","265.9","251.8","245.3","264.7"
"1981-2010","-90.5","14.5","241.7","244.6","254.8","267.7","275.4","277.2","281.8","281.5","277.1","264.4","249","242.5","263.1"
